slug,brand_name,primary_domain,first_seen_pass,discovery_source_url,discovery_source_quote,assigned_tier,tier_rationale,profile_status
precisely-peptides,Precisely Peptides,preciselypeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Woods Cross-based vendor.",3,as-assigned (operator seed),pending
prestige-peptides,Prestige Peptides,prestigesciences.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Small retail supplier.",3,as-assigned (operator seed),pending
prime-lab-peptides,Prime Lab Peptides,primelab-peptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 2: Major Miami retail vendor with 850+ reviews.",2,as-assigned (operator seed),pending
prime-peptides,Prime Peptides,primepeptides.co,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Santa Barbara retail vendor.",3,as-assigned (operator seed),pending
prosperitypeptides,Prosperitypeptides,prosperitypeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Small retail supplier.",3,as-assigned (operator seed),pending
puratek-peptides,Puratek Peptides,puratekpeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Las Vegas-based vendor.",3,as-assigned (operator seed),pending
pure-peptide-labs,Pure Peptide Labs,purepeptidelabs.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 2: Massive retail presence with 1.5K+ reviews.",2,as-assigned (operator seed),pending
pure-rawz,Pure Rawz,purerawz.co,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 2: Highly visible community-backed vendor.",2,as-assigned (operator seed),pending
purepeptides,PurePeptides,purepeptides.bio,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Retail vendor.",3,as-assigned (operator seed),pending
purgo-labs,Purgo Labs,purgolabs.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Small retail supplier.",3,as-assigned (operator seed),pending
qing-li-peptide,Qing Li Peptide,qinglipeptide.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Chinese B2B API supplier.",3,as-assigned (operator seed),pending
raw-amino,Raw Amino,rawamino.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 2: GMP-certified catalog of 80+ peptides.",2,as-assigned (operator seed),pending
redleafpeptides,Redleafpeptides,redleafpeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Canadian supplier shipping cross-border.",3,as-assigned (operator seed),pending
researchreadypeptides,Researchreadypeptides,researchreadypeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Gaston-based vendor.",3,as-assigned (operator seed),pending
reta-peptide,Reta-Peptide,reta-peptide.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Chinese B2B API supplier.",3,as-assigned (operator seed),pending
revivacore,REVIVACORE,revivacore.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Small retail supplier.",3,as-assigned (operator seed),pending
revivepeptidesco,Revivepeptidesco,revivepeptidesco.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Small retail supplier.",3,as-assigned (operator seed),pending
rivn-peptides,Rivn Peptides,rivnpeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Franklin-based vendor.",3,as-assigned (operator seed),pending
royal-peptides-wholesale,Royal Peptides Wholesale,royal-peptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Wholesale-focused supplier.",3,as-assigned (operator seed),pending
science,Science,science.bio,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 2: Highly trusted brand, currently battling checkout hijackers.",2,as-assigned (operator seed),pending
shanghai-huirui-chemical-technology-co,Shanghai Huirui Chemical Technology Co.,unknown,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Chinese API lab supplying US retail.",3,as-assigned (operator seed),pending
shanghai-jinbei-chemical,Shanghai JinBei Chemical,unknown,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Chinese B2B API supplier.",3,as-assigned (operator seed),pending
sigma-compounds,Sigma Compounds,sigmacompounds.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Overland Park-based supplier.",3,as-assigned (operator seed),pending
silverstone-labs-co,Silverstone Labs Co,silverstonelabsco.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Small retail supplier.",3,as-assigned (operator seed),pending
skye-peptides,Skye Peptides,skyepeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 2: Major retail vendor with strong Finnrick presence.",2,as-assigned (operator seed),pending
snappeptides,Snappeptides,snappeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Small retail supplier.",3,as-assigned (operator seed),pending
solyn,Solyn,solyn.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Danville-based vendor.",3,as-assigned (operator seed),pending
soma-chems,Soma Chems,somachems.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Niche capsule-based format provider.",3,as-assigned (operator seed),pending
stackhaus-research,Stackhaus Research,stackhausresearch.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Small retail supplier.",3,as-assigned (operator seed),pending
steroide-kaufen,Steroide Kaufen,steroidekaufen.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Defunct due to Eli Lilly litigation.",3,as-assigned (operator seed),partial
strate-labs-llc,Strate Labs LLC,stratelabs.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Defunct Texas-based vendor sued by Lilly.",3,as-assigned (operator seed),pending
summit-peptides,Summit Peptides,summitpeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Hoover-based retail vendor.",3,as-assigned (operator seed),pending
super-human-store,Super Human Store,superhumanstore.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Defunct due to Eli Lilly litigation.",3,as-assigned (operator seed),failed
supopeptide,Supopeptide,supopeptide.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Defunct New Jersey vendor sued by Lilly.",3,as-assigned (operator seed),pending
swiss-chems,Swiss Chems,swisschems.is,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 2: Highly visible market player, facing Lilly litigation.",2,as-assigned (operator seed),pending
testides,Testides,testides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 1: Legitimate analytical testing lab.",1,as-assigned (operator seed),pending
the-triggered-brand,The Triggered Brand,thetriggeredbrand.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Defunct Florida-based vendor sued by Lilly.",3,as-assigned (operator seed),pending
the-vibrant-life,The Vibrant Life,the-vibrant-life.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Multi-category bio-chemical supplier.",3,as-assigned (operator seed),pending
thepeptidelabs,Thepeptidelabs,thepeptidelabs.ca,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Canadian supplier shipping cross-border.",3,as-assigned (operator seed),pending
threeside-peptides,ThreeSide Peptides,threesidepeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Small retail supplier.",3,as-assigned (operator seed),pending
thrive-peptides,Thrive Peptides,thrivepeptides.us,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 2: Highly rated Trustpilot vendor.",2,as-assigned (operator seed),pending
total-compounding-pharmaceuticals,Total Compounding Pharmaceuticals,totalcompounding.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Target of Eli Lilly litigation.",3,as-assigned (operator seed),pending
trusted-peptides,Trusted Peptides,trustedpeptides.store,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Small retail supplier.",3,as-assigned (operator seed),pending
trutide-solutions-llc,TRUTIDE SOLUTIONS LLC,trutidesolutions.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Small retail supplier.",3,as-assigned (operator seed),pending
unewlife,Unewlife,unewlife.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Defunct New Jersey vendor sued by Lilly.",3,as-assigned (operator seed),pending
uther,Uther,uther.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Chinese B2B API supplier.",3,as-assigned (operator seed),pending
vantanex,Vantanex,vantanex.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Small retail supplier.",3,as-assigned (operator seed),pending
vantyxresearch,Vantyx Research,vantyxresearch.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Small retail supplier.",3,as-assigned (operator seed),completed
vector-amino-labsmy,Vector Amino Labsmy,aminolab.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Small retail supplier.",3,as-assigned (operator seed),pending
vicipeptides,Vicipeptides,vicipeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Small retail supplier.",3,as-assigned (operator seed),pending
vitalcell-llc,Vitalcell LLC,vitalcellpeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Brookings-based vendor.",3,as-assigned (operator seed),pending
wuhan-newtop-biotech-co,Wuhan Newtop Biotech Co.,unknown,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Heavy-volume Chinese API lab supplying US retail.",3,as-assigned (operator seed),pending
xeno-peptides,Xeno Peptides,xenopeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Dallas-based vendor.",3,as-assigned (operator seed),pending
xingruida-xdr,Xingruida XDR,xingruida.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Chinese wholesale supplier.",3,as-assigned (operator seed),pending
xxxpeptides,Xxxpeptides,xxxpeptides.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Deer Park-based vendor.",3,as-assigned (operator seed),pending
yb-peptide,YB Peptide,ybpeptide.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Chinese B2B API supplier.",3,as-assigned (operator seed),pending
yimei,Yimei,yimei.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Chinese B2B API supplier.",3,as-assigned (operator seed),pending
yiwu-aozuo-trading,Yiwu Aozuo Trading,unknown,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Top-rated Chinese API supplier.",3,as-assigned (operator seed),pending
zenith-jove-peptide-zj,Zenith Jove Peptide ZJ,zenithjove.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Chinese API supplier.",3,as-assigned (operator seed),pending
zhejiang-yichenkang,Zhejiang Yichenkang,unknown,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Chinese API supplier.",3,as-assigned (operator seed),pending
zhengzhou-lanyun,Zhengzhou Lanyun,lanyun.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Top-rated Chinese API supplier.",3,as-assigned (operator seed),pending
zhuo-yue-lab,Zhuo Yue Lab,zhuoyue.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Highly recommended community B2B supplier.",3,as-assigned (operator seed),pending
zlz-peptide,ZLZ Peptide,zlzpeptide.com,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Chinese API supplier.",3,as-assigned (operator seed),pending
zyntra-research-labs,Zyntra Research Labs,zyntra-researchlabs.co,0,00_inputs/vendor_list.csv,"row from operator-supplied vendor list, classified as Tier 3: Small retail supplier.",3,as-assigned (operator seed),pending
